USERNAME,PASSWORD,FIRSTNAME,LASTNAME,PLAN_TYPE,INDIVIDUAL_ID,ACCOUNT_ID,BUSINESS_TYPE
ATDD_ULAYER_MAPD_01,Password@1,CLAUWDG,SGFA,MAPD,800022659008,000022678200,GOVT
ATDD_ULAYER_PDP_01,Password@1,EFAACC,AECCCCD,PDP,200000708002,20000708002,GOVT
q1_feb_ulayer179,Password@1,EAEFF,ECBEE,MAPD,100028670701,30028691203,GOVT
q1_apr_blayer046,Password@1,CFAAE,CBDFA,MAPD,100028670601,91587817300,GOVT
q2_jun_blayer005,Password@1,BCBBB,BEBDAA,MAPD,200026063202,30026083703,GOVT
q2_jun_blayer004,Password@1,BBBCCB,EDDE,MAPD,900023762409,110023781911,GOVT
q2_jun_blayer003,Password@1,ABFFEBC,ABCCD,MAPD,25737100,20025756602,GOVT
q2_jun_blayer049,Password@1,BECD,CFD,MAPD,1200019214012,150019233515,GOVT
q2_jun_ulayer156,Password@1,EEDFD,BFCACDF,MAPD,800026832508,100026853010,GOVT
q2_jun_blayer002,Password@1,CBDEFCB,CACFF,MAPD,100025951801,30025972303,GOVT
